,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
123,75,2017/8/1 0:12,2017/8/1 0:14,383,Greenwich Avenue & Charles Street,40.735238,-74.000271,254,W 11 St & 6 Ave,40.73532427,-73.99800419,27291,Subscriber,1955.0,1
124,633,2017/8/1 0:12,2017/8/1 0:23,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,3418,Plaza St West & Flatbush Ave,40.675020700000005,-73.97111473,25970,Subscriber,1978.0,1
125,906,2017/8/1 0:12,2017/8/1 0:27,478,11 Avenue & W 41 Street,40.76030096,-73.99884222,116,W 17 St & 8 Ave,40.74177603,-74.00149746,28478,Subscriber,1979.0,2
126,379,2017/8/1 0:12,2017/8/1 0:19,252,MacDougal Street & Washington Sq,40.73226398,-73.99852205,405,Washington St & Gansevoort St,40.739323,-74.008119,25005,Subscriber,1985.0,1
127,1228,2017/8/1 0:12,2017/8/1 0:33,325,E 19 St & 3 Ave,40.73624527,-73.98473765,444,Broadway & W 24 St,40.742354299999995,-73.98915076,25768,Customer,,0
128,1012,2017/8/1 0:13,2017/8/1 0:29,3443,W 52 Street & 6 Avenue,40.76132983,-73.97982001,504,1 Ave & E 16 St,40.73221853,-73.98165557,25489,Subscriber,1989.0,1
129,2575,2017/8/1 0:13,2017/8/1 0:56,447,8 Ave & W 52 St,40.76370739,-73.9851615,447,8 Ave & W 52 St,40.76370739,-73.9851615,25949,Subscriber,1973.0,1
130,262,2017/8/1 0:13,2017/8/1 0:17,3398,Smith Street & 9 Street,40.67469570000001,-73.99785768,3333,Columbia St & Lorraine St,40.6747055,-74.00755720000001,24790,Subscriber,1981.0,1
131,597,2017/8/1 0:13,2017/8/1 0:23,3294,E 91 Street & Park Avenue,40.7835016,-73.955327,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,24929,Subscriber,1969.0,1
132,796,2017/8/1 0:13,2017/8/1 0:26,3255,8 Ave & W 31 St,40.75058535,-73.99468482,368,Carmine St & 6 Ave,40.73038599,-74.00214988,26589,Subscriber,1965.0,1
133,320,2017/8/1 0:13,2017/8/1 0:18,466,W 25 St & 6 Ave,40.74395411,-73.99144871,345,W 13 St & 6 Ave,40.73649403,-73.99704374,14905,Subscriber,1987.0,1
134,1649,2017/8/1 0:13,2017/8/1 0:41,3141,1 Ave & E 68 St,40.76500525,-73.95818491,473,Rivington St & Chrystie St,40.72110063,-73.99192540000001,15400,Subscriber,1993.0,1
135,312,2017/8/1 0:13,2017/8/1 0:18,3105,N 15 Street & Wythe Avenue,40.724055,-73.955736,3113,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,29382,Subscriber,1984.0,1
