150505_1345	2	globals	Period	NumPeriods	RepeatTreatment	timeout	numfix1	numfix2	rounds	change_group1	j									
150505_1345	2	subjects	Period	Subject	Group	Profit	Participate	PAP	PageSlider	Z1	PA	PAA3D	PPA3D	PAB3D	PPB3D	PAU3D	PPU3D	SG	rank2	LL
150505_1345	2	subjects	4	1	1	12.16069598	0	2.5	1	1	0.708817635	2.800400802	12.85304021	3.998396794	14.07355504	2.82004008	12.87304864	2	-	4
150505_1345	2	subjects	4	2	1	17.04762757	0	2.5	1	3	4.008216433	5	3.387059962	4.440280561	4.127338179	5	3.387059962	1	-	2
150505_1345	2	subjects	4	3	1	14.35415899	0	2.5	1	3	2.476352705	5	3.387059962	3.998396794	4.711768351	4.440280561	4.127338179	1	-	3
150505_1345	2	subjects	4	4	1	19.4644226	0	2.5	1	1	3.104809619	4.901803607	14.99394328	2.82004008	12.87304864	2.800400802	12.85304021	2	-	3
150505_1345	2	subjects	4	5	1	17.27208329	0	2.5	1	2	4.135871743	4.440280561	4.127338179	5	3.387059962	3.998396794	4.711768351	1	-	4
150505_1345	2	subjects	4	6	1	15.25198185	0	2.5	1	1	2.986973948	3.998396794	4.711768351	5	3.387059962	5	3.387059962	1	-	1
150505_1345	2	subjects	4	7	1	23.17615253	0	2.5	1	1	4.32244489	3.998396794	14.07355504	2.800400802	12.85304021	4.901803607	14.99394328	2	-	2
150505_1345	2	subjects	4	8	1	22.57748641	0	2.5	1	1	4.126052104	2.82004008	12.87304864	4.901803607	14.99394328	3.998396794	14.07355504	2	-	1
150505_1345	2	subjects	4	9	2	5.571201161	0	2.5	1	1	4.175150301	4.440280561	12.13207139	4.401002004	12.11321117	3.153907816	11.51439904	1	-	1
150505_1345	2	subjects	4	10	2	5.218065634	0	2.5	1	2	3.890380762	4.509018036	7.286192457	4.126052104	7.516685178	3.890380762	7.658526852	2	-	4
150505_1345	2	subjects	4	11	2	4.131766218	0	2.5	1	1	4.774148297	4.499198397	7.292102527	3.890380762	7.658526852	4.509018036	7.286192457	2	-	3
150505_1345	2	subjects	4	12	2	4.862899456	0	2.5	1	1	4.842885772	3.271743487	11.57097972	3.153907816	11.51439904	4.440280561	12.13207139	1	-	4
150505_1345	2	subjects	4	13	2	4.373166089	0	2.5	1	1	4.577755511	4.126052104	7.516685178	4.509018036	7.286192457	4.499198397	7.292102527	2	-	2
150505_1345	2	subjects	4	14	2	4.998310076	0	2.5	1	2	4.715230461	3.153907816	11.51439904	3.271743487	11.57097972	4.401002004	12.11321117	1	-	2
150505_1345	2	subjects	4	15	2	5.581617363	0	2.5	1	1	4.165330661	4.401002004	12.11321117	4.440280561	12.13207139	3.271743487	11.57097972	1	-	3
150505_1345	2	subjects	4	16	2	3.854156368	0	2.5	1	1	5	3.890380762	7.658526852	4.499198397	7.292102527	4.126052104	7.516685178	2	-	1
150505_1345	2	subjects	4	17	3	11.21071193	0	2.5	1	2	2.594188377	5	1.913841437	5	1.913841437	4.086773547	3.390740218	1	-	4
150505_1345	2	subjects	4	18	3	17.78135504	0	2.5	1	1	3.723446894	4.018036072	8.111771964	4.037675351	8.10254272	3.733266533	8.245596006	2	-	2
150505_1345	2	subjects	4	19	3	12.2968454	0	2.5	1	4	4.921442886	5	1.913841437	5	1.913841437	5	1.913841437	1	-	2
150505_1345	2	subjects	4	20	3	18.21230307	0	2.5	1	2	3.929659319	5	7.650309751	3.733266533	8.245596006	4.018036072	8.111771964	2	-	1
150505_1345	2	subjects	4	21	3	11.61400199	0	2.5	1	1	3.458316633	4.086773547	3.390740218	5	1.913841437	5	1.913841437	1	-	1
150505_1345	2	subjects	4	22	3	15.31879489	0	2.5	1	4	2.54509018	3.733266533	8.245596006	5	7.650309751	4.037675351	8.10254272	2	-	3
150505_1345	2	subjects	4	23	3	12.01270921	0	2.5	1	1	4.312625251	5	1.913841437	4.086773547	3.390740218	5	1.913841437	1	-	3
150505_1345	2	subjects	4	24	3	16.34486162	0	2.5	1	1	3.036072144	4.037675351	8.10254272	4.018036072	8.111771964	5	7.650309751	2	-	4
150505_1345	2	displayorder	Period	Subject	LCA	LCB														
150505_1345	2	displayorder	4	1	4	8														
150505_1345	2	displayorder	4	2	6	3														
150505_1345	2	displayorder	4	3	2	5														
150505_1345	2	displayorder	4	4	7	1														
150505_1345	2	displayorder	4	5	3	6														
150505_1345	2	displayorder	4	6	5	2														
150505_1345	2	displayorder	4	7	8	4														
150505_1345	2	displayorder	4	8	1	7														
150505_1345	2	displayorder	4	9	12	14														
150505_1345	2	displayorder	4	10	11	16														
150505_1345	2	displayorder	4	11	13	10														
150505_1345	2	displayorder	4	12	15	9														
150505_1345	2	displayorder	4	13	16	11														
150505_1345	2	displayorder	4	14	9	15														
150505_1345	2	displayorder	4	15	14	12														
150505_1345	2	displayorder	4	16	10	13														
150505_1345	2	displayorder	4	17	23	21														
150505_1345	2	displayorder	4	18	20	22														
150505_1345	2	displayorder	4	19	21	23														
150505_1345	2	displayorder	4	20	24	18														
150505_1345	2	displayorder	4	21	17	19														
150505_1345	2	displayorder	4	22	18	24														
150505_1345	2	displayorder	4	23	19	17														
150505_1345	2	displayorder	4	24	22	20														
150505_1345	2	globals	Period	NumPeriods	RepeatTreatment	timeout	numfix1	numfix2	rounds	change_group1	j									
150505_1345	2	globals	5	540	0	5	0.01	0.01	540	180	-									
150505_1345	2	subjects	Period	Subject	Group	Profit	Participate	PAP	PageSlider	Z1	PA	PAA3D	PPA3D	PAB3D	PPB3D	PAU3D	PPU3D	SG	rank2	LL
150505_1345	2	subjects	5	1	1	7.701563628	0	2.5	1	1	4.076953908	3.104809619	19.4644226	4.126052104	22.57748641	0.708817635	12.16069598	2	-	4
150505_1345	2	subjects	5	2	1	10.33894581	0	2.5	1	3	4.705410822	2.986973948	15.25198185	2.476352705	14.35415899	4.008216433	17.04762757	1	-	2
150505_1345	2	subjects	5	3	1	10.13028049	0	2.5	1	2	1.808617234	4.008216433	17.04762757	4.135871743	17.27208329	2.476352705	14.35415899	1	-	3
150505_1345	2	subjects	5	4	1	7.85657025	0	2.5	1	1	3.802004008	4.32244489	23.17615253	0.708817635	12.16069598	3.104809619	19.4644226	2	-	3
150505_1345	2	subjects	5	5	1	10.31701827	0	2.5	1	4	4.401002004	2.476352705	14.35415899	2.986973948	15.25198185	4.135871743	17.27208329	1	-	4
150505_1345	2	subjects	5	6	1	10.358044	0	2.5	1	1	4.970541082	4.135871743	17.27208329	4.008216433	17.04762757	2.986973948	15.25198185	1	-	1
150505_1345	2	subjects	5	7	1	7.242079716	0	2.5	1	1	4.891983968	4.126052104	22.57748641	3.104809619	19.4644226	4.32244489	23.17615253	2	-	2
150505_1345	2	subjects	5	8	1	7.64066817	0	2.5	1	1	4.18496994	0.708817635	12.16069598	4.32244489	23.17615253	4.126052104	22.57748641	2	-	1
150505_1345	2	subjects	5	9	2	12.13564062	0	2.5	1	0	4.035248349	4.842885772	4.862899456	4.715230461	4.998310076	4.175150301	5.571201161	1	-	1
150505_1345	2	subjects	5	10	2	15.44087777	0	2.5	1	2	3.585971944	4.774148297	4.131766218	5	3.854156368	3.890380762	5.218065634	2	-	4
150505_1345	2	subjects	5	11	2	16.03683846	0	2.5	1	1	3.978757515	4.577755511	4.373166089	3.890380762	5.218065634	4.774148297	4.131766218	2	-	3
150505_1345	2	subjects	5	12	2	12.28244135	0	2.5	1	1	4.312625251	4.165330661	5.581617363	4.175150301	5.571201161	4.842885772	4.862899456	1	-	4
150505_1345	2	subjects	5	13	2	15.44087777	0	2.5	1	1	3.585971944	5	3.854156368	4.774148297	4.131766218	4.577755511	4.373166089	2	-	2
150505_1345	2	subjects	5	14	2	11.81471057	0	2.5	1	4	3.428857715	4.175150301	5.571201161	4.165330661	5.581617363	4.715230461	4.998310076	1	-	2
150505_1345	2	subjects	5	15	2	11.80951356	0	2.5	1	1	3.419038076	4.715230461	4.998310076	4.842885772	4.862899456	4.165330661	5.581617363	1	-	3
150505_1345	2	subjects	5	16	2	14.15956231	0	2.5	1	1	2.741482966	3.890380762	5.218065634	4.577755511	4.373166089	5	3.854156368	2	-	1
150505_1345	2	subjects	5	17	3	5.592235433	0	2.5	1	1	3.585971944	4.312625251	12.01270921	3.458316633	11.61400199	2.594188377	11.21071193	1	-	4
150505_1345	2	subjects	5	18	3	17.5814083	0	2.5	1	1	3.77254509	3.929659319	18.21230307	2.54509018	15.31879489	3.723446894	17.78135504	2	-	2
150505_1345	2	subjects	5	19	3	3.950716316	0	2.5	1	0	4.921442886	3.458316633	11.61400199	4.312625251	12.01270921	4.921442886	12.2968454	1	-	2
150505_1345	2	subjects	5	20	3	16.61445153	0	2.5	1	2	3.291382766	3.036072144	16.34486162	3.723446894	17.78135504	3.929659319	18.21230307	2	-	1
150505_1345	2	subjects	5	21	3	4.180046192	0	2.5	1	1	4.734869739	2.594188377	11.21071193	4.921442886	12.2968454	3.458316633	11.61400199	1	-	1
150505_1345	2	subjects	5	22	3	17.79848023	0	2.5	1	1	3.880561122	3.723446894	17.78135504	3.036072144	16.34486162	2.54509018	15.31879489	2	-	3
150505_1345	2	subjects	5	23	3	3.854156368	0	2.5	1	4	5	4.921442886	12.2968454	2.594188377	11.21071193	4.312625251	12.01270921	1	-	3
150505_1345	2	subjects	5	24	3	14.77920703	0	2.5	1	4	2.378156313	2.54509018	15.31879489	3.929659319	18.21230307	3.036072144	16.34486162	2	-	4
150505_1345	2	displayorder	Period	Subject	LCA	LCB														
150505_1345	2	displayorder	5	1	4	8														
150505_1345	2	displayorder	5	2	6	3														
150505_1345	2	displayorder	5	3	2	5														
150505_1345	2	displayorder	5	4	7	1														
150505_1345	2	displayorder	5	5	3	6														
150505_1345	2	displayorder	5	6	5	2														
150505_1345	2	displayorder	5	7	8	4														
150505_1345	2	displayorder	5	8	1	7														
150505_1345	2	displayorder	5	9	12	14														
150505_1345	2	displayorder	5	10	11	16														
150505_1345	2	displayorder	5	11	13	10														
150505_1345	2	displayorder	5	12	15	9														
150505_1345	2	displayorder	5	13	16	11														
150505_1345	2	displayorder	5	14	9	15														
150505_1345	2	displayorder	5	15	14	12														
150505_1345	2	displayorder	5	16	10	13														
150505_1345	2	displayorder	5	17	23	21														
150505_1345	2	displayorder	5	18	20	22														
150505_1345	2	displayorder	5	19	21	23														
150505_1345	2	displayorder	5	20	24	18														
150505_1345	2	displayorder	5	21	17	19														
150505_1345	2	displayorder	5	22	18	24														
150505_1345	2	displayorder	5	23	19	17														
150505_1345	2	displayorder	5	24	22	20														
150505_1345	2	globals	Period	NumPeriods	RepeatTreatment	timeout	numfix1	numfix2	rounds	change_group1	j									
150505_1345	2	globals	6	540	0	5	0.01	0.01	540	180	-									
150505_1345	2	subjects	Period	Subject	Group	Profit	Participate	PAP	PageSlider	Z1	PA	PAA3D	PPA3D	PAB3D	PPB3D	PAU3D	PPU3D	SG	rank2	LL
150505_1345	2	subjects	6	1	1	12.24626935	0	2.5	1	1	0.443687375	3.802004008	7.85657025	4.18496994	7.64066817	4.076953908	7.701563628	2	-	4
